,price,adress,Комнат,Площадь,Кухня,Этаж,Ремонт,Тип сделки,Количество балконов,Мусоропровод,Год постройки,Материал стен,Серия дома,Количество этажей,Лифт,Тип перекрытий,Тип фундамента,Горячее водоснабжение,Количество квартир,Холодное водоснабжение,Теплоснабжение,Энергоснабжение,Водоотведение,Балкон,Детская площадка,Год ввода в эксплуатацию,Класс энергоэффективности,Количество подъездов,Количество лифтов,Жилая,Высота потолков,Грузовой лифт,Газ,Лет в собственности,Вид из окон,Вентиляция,Количество собственников,Несовершеннолетние собственники,Прописанные несовершеннолетние,Перепланировка,Спортивная площадка,Санузел,Наименьшее количество этажей,Площадь парковки,latitude,longitude
250,4000000.0,"Владивосток, Луговая улица, 68",,,,,0,,,есть,1981.0,Панельный,П-55,9.0,1.0,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,,,,1,,,,,,,,,,,,,,,,,,,,,43.13282355,131.94753630881388
251,16900000.0,"Владивосток, улица Уборевича, 10Б",2.0,61.1,,5.0,1,,1.0,,1917.0,Кирпичный,v-кирпичный,5.0,,Смешанный,Иной,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,38.0,Центральное,,,,0,,,,,,,,,,,,,,,,,,,,,43.117296,131.8891708
252,8499999.0,"Владивосток, Сочинская улица, 5",1.0,40.0,,9.0,1,Свободная продажа,,,2015.0,Монолитный,а монолитный,11.0,1.0,Железобетонный,Свайный,Закрытая с приготовлением горячей воды на ЦТП,,,,,,0,,,A,,,"37,8 м2",,нет,нет,,,,,,,,,,,,43.0827385,131.95651397676653
253,8980000.0,"Владивосток, Главная улица, 35г",3.0,75.4,,1.0,0,Свободная продажа,,,2023.0,Монолитный,,4.0,,Железобетонный,,Центральное,43.0,,,,,0,,,,,,"62,4 м2","2,8",,,,,,,нет,нет,нет,,,,,43.250939349999996,132.0257714252688
254,6800000.0,"Владивосток, Русская улица, 95",,,,,1,,,,2022.0,Монолитный,,25.0,,Железобетонный,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,43.17579885,131.94006015
255,4800000.0,"Приморскийкрай, Владивосток, улица Шепеткова, 37",1.0,32.8,6.0,2.0,1,Свободная продажа,1.0,есть,1970.0,Кирпичный,II-66,9.0,1.0,Железобетонный,Ленточный,,54.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,
256,11500000.0,"Владивосток, Иртышская улица, 32",,,,,1,,,есть,1977.0,Панельный,121. многоквартирный дом,9.0,1.0,Железобетонный,Ленточный,,,,,,,0,,,D,,,,,,,,,,,,,,,,,,43.16265165,131.9269158032758
257,9200000.0,"Владивосток, Океанский проспект, 125",3.0,56.5,7.0,6.0,1,Свободная продажа,1.0,есть,1978.0,Кирпичный,II-66,9.0,1.0,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,,,,1,,,,,,,,,,,,,,,,,,,,,43.13460295,131.90232218795654
258,4000000.0,"Владивосток, Некрасовская улица, 52",1.0,16.9,5.0,2.0,1,,,есть,1975.0,Панельный,1-464,9.0,1.0,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,,,,0,,,,,,,,,,,,,,,,,,,,,43.1225647,131.9078475
259,7300000.0,"Владивосток, улица Сабанеева, 19",3.0,54.1,9.0,2.0,1,,1.0,есть,1984.0,Панельный,1605-12,12.0,1.0,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,,,,1,,,,,,,,,,,,,,,,,,,,,43.13106995,131.9493161
260,7250000.0,"Владивосток, улица Адмирала Кузнецова, 45",3.0,53.4,8.0,9.0,1,,1.0,есть,1982.0,Панельный,,12.0,1.0,Железобетонный,Иной,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,Центральное,,,,0,,,,,,,,,,,,,,,,,,,,,43.122783549999994,131.9543201533229
261,6500000.0,"Владивосток, улица Борисенко, 108",1.0,32.3,6.0,5.0,1,,1.0,есть,1981.0,Панельный,,12.0,1.0,Железобетонный,Иной,Закрытая с приготовлением горячей воды на ЦТП,,Центральное,,,,0,,,,,,,,,,,,,,,,,,,,,43.0920712,131.96195710297928
262,14800000.0,"Владивосток, Ласточкино Гнездо, Кипарисовая улица, 2",4.0,118.8,13.9,7.0,1,,1.0,есть,1994.0,Панельный,П-3,10.0,1.0,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
263,6350000.0,"Владивосток, Добровольского улица, 5а",2.0,46.4,5.0,9.0,1,,1.0,есть,1972.0,Панельный,,9.0,1.0,Железобетонный,Иной,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,Центральное,,,,1,,,,,,,,,,,,,,,,,,,,,43.0928784,131.9744736
264,7400000.0,"Владивосток, Связи улица, 22",4.0,63.1,6.8,7.0,1,,1.0,есть,1970.0,Панельный,81,9.0,1.0,Железобетонный,Ленточный,,144.0,,,,,0,,,,,,,,,,,,,,,,,,,,,43.0992394,131.93553133772065
265,9200000.0,"Владивосток, улица Нейбута, 141",2.0,49.8,9.0,6.0,1,Свободная продажа,1.0,,2018.0,Панельный,121,9.0,,Железобетонный,,Центральное,,,,,,1,,,,,,,,,,,,,,,,,,,,,43.11842005,131.96797264705754
